Category,Name,Price,Rating,Reviews,URL,Price_Segment,Name_Length,Price_Per_Char
Sports,Outdoor Camping Lantern Portable Charging LED Searchlight Tent Magnetic Attraction with Hook Flashlight Outage Emergency Work Light,10.07,0.0,0,https://www.banggood.com/Outdoor-Camping-Lantern-Portable-Charging-LED-Searchlight-Tent-Magnetic-Attraction-with-Hook-Flashlight-Outage-Emergency-Work-Light-p-2042172.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6287837,Mid-Range ($10-50),131,0.07687022900763359
Sports,1000W Solar Panel 12V Solar Cell 20A Controller Solar Plate Kit For Phone RV Car Caravan Home Camping Outdoor Battery,30.87,0.0,0,https://www.banggood.com/1000W-Solar-Panel-12V-Solar-Cell-20A-Controller-Solar-Plate-Kit-For-Phone-RV-Car-Caravan-Home-Camping-Outdoor-Battery-p-2014664.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6326423,Mid-Range ($10-50),117,0.26384615384615384
Sports,Baseus Phone Holder 5.7,7.99,0.0,0,https://www.banggood.com/Baseus-Phone-Holder-5_7-inch-7_2-inch-Adjustable-Phone-Clip-Stand-Shockproof-Portable-Bike-Holder-Phone-Bracket-for-Motorcycle-Bicycle-p-2013441.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=0,Budget (<$10),23,0.3473913043478261
Sports,ROCKBROS 3.5L Lightweight Bike Saddle Bag Compact Size Capacity Portable Handbag Multifunction Cycling Bag Bicycle Accessories,7.99,0.0,0,https://www.banggood.com/ROCKBROS-3_5L-Lightweight-Bike-Saddle-Bag-Compact-Size-Capacity-Portable-Handbag-Multifunction-Cycling-Bag-Bicycle-Accessories-p-2023788.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6287941,Budget (<$10),126,0.06341269841269842
Sports,"TENGOO HZ-23 23 Zones Heated Jacket - Four-control, USB & DC Port, Smart Thermal Warm Jacket Uniex Heated Hooded Coat Outdoor Sportswear",34.99,0.0,0,"https://www.banggood.com/TENGOO-HZ-23-23-Zones-Heated-Jacket-Four-control,USB-and-DC-Port,Smart-Thermal-Warm-Jacket-Uniex-Heated-Hooded-Coat-Outdoor-Sportswear-p-2040560.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6287638",Mid-Range ($10-50),136,0.2572794117647059
Sports,"IPRee Multi-Functional Claw Hammer Sheep Horn Hammer, Convenient Camping Combination Small Tool, Stainless Steel Pliers  for Outdoor and DIY Use",15.99,0.0,0,"https://www.banggood.com/IPRee-Multi-Functional-Claw-Hammer-Sheep-Horn-Hammer,Convenient-Camping-Combination-Small-Tool,Stainless-Steel-Pliers-for-Outdoor-and-DIY-Use-p-2043289.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6287830",Mid-Range ($10-50),144,0.11104166666666666
Sports,TENGOO HV-02 Unisex 2 Zone Heating Vest 3-Gears Heated Jackets USB Electric Thermal Clothing Winter Warm Vest Outdoor Heat Coat Clothing,16.99,0.0,0,https://www.banggood.com/TENGOO-HV-02-Unisex-2-Zone-Heating-Vest-3-Gears-Heated-Jackets-USB-Electric-Thermal-Clothing-Winter-Warm-Vest-Outdoor-Heat-Coat-Clothing-p-2040359.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6287638,Mid-Range ($10-50),136,0.12492647058823528
Sports,IPRee 16 In 1 Multifunctional Hammer Survival Tool Folding Pocket Pliers With Screwdriver Bottle Opener For Survival Camping Hunting Outdoor,29.4,0.0,0,https://www.banggood.com/IPRee-16-In-1-Multifunctional-Hammer-Survival-Tool-Folding-Pocket-Pliers-With-Screwdriver-Bottle-Opener-For-Survival-Camping-Hunting-Outdoor-p-2041228.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=224,Mid-Range ($10-50),140,0.21
Sports,XHP70 Strong LED Headlamp Type-C USB Charging Outdoor Fishing Zoom Headlight Bike Running Search Head Lamp,10.37,0.0,0,https://www.banggood.com/XHP70-Strong-LED-Headlamp-Type-C-USB-Charging-Outdoor-Fishing-Zoom-Headlight-Bike-Running-Search-Head-Lamp-p-1992739.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=0,Mid-Range ($10-50),106,0.09783018867924527
Sports,TF-100 36V-60V 5 Pin LCD Electric Scooter Universal Display For YUNLI JINGBO Controller LAOTIE TI30 ES19 ANGWATT T1 C1 F1 BOYUEDA KUGOO KUKIRIN DUOTTS TF100,19.99,0.0,0,https://www.banggood.com/TF-100-36V-60V-5-Pin-LCD-Electric-Scooter-Universal-Display-For-YUNLI-JINGBO-Controller-LAOTIE-TI30-ES19-ANGWATT-T1-C1-F1-BOYUEDA-KUGOO-KUKIRIN-DUOTTS-TF100-p-1998224.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=0,Mid-Range ($10-50),156,0.12814102564102564
Sports,"TENGOO HT-08A Women Electric Heated Trousers - 8 Heating Areas, 3 Temperature Control, Waterproof Winter Warm Thermal Leggings Pants for Outdoors",51.99,0.0,0,"https://www.banggood.com/TENGOO-HT-08A-Women-Electric-Heated-Trousers-8-Heating-Areas,3-Temperature-Control,Waterproof-Winter-Warm-Thermal-Leggings-Pants-for-Outdoors-p-2041894.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6287636",Premium ($50-200),145,0.35855172413793107
Sports,Bikight LX200 Wave Sensor 1200mAh 270° Wide Range 350LM 5 Lighting Modes LED Headlamp USB Rechargeable Head Torch COB Outdoor Cycling Adventure Fishing Flashlight Bike Headlamp,7.99,0.0,0,https://www.banggood.com/Bikight-LX200-Wave-Sensor-1200mAh-270-Wide-Range-350LM-5-Lighting-Modes-LED-Headlamp-USB-Rechargeable-Head-Torch-COB-Outdoor-Cycling-Adventure-Fishing-Flashlight-Bike-Headlamp-p-1854092.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6321046,Budget (<$10),176,0.04539772727272728
Sports,"IPRee Outdoor Solar Charging 2000LM Emergency Light Long 5000mAh Battery Life, USB Charging Portable And Long-Lasting Illumination For Outdoor Folding Camping Tent Lights",17.99,0.0,0,"https://www.banggood.com/IPRee-Outdoor-Solar-Charging-2000LM-Emergency-Light-Long-5000mAh-Battery-Life,USB-Charging-Portable-And-Long-Lasting-Illumination-For-Outdoor-Folding-Camping-Tent-Lights-p-2032566.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6287837",Mid-Range ($10-50),170,0.10582352941176469
Sports,LAOTIE 36-60V Wide Voltage Turn Signal Light Electric Scootor Taillight For Electric Scooters For ES19 TI30 T30 SR10 ES18 Lite,7.99,0.0,0,https://www.banggood.com/LAOTIE-36-60V-Wide-Voltage-Turn-Signal-Light-Electric-Scootor-Taillight-For-Electric-Scooters-For-ES19-TI30-T30-SR10-ES18-Lite-p-1959442.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=0,Budget (<$10),126,0.06341269841269842
Sports,KALOAD Dynamometer Hand Grips Electronic Grip Strengthener LED Display Intelligent Electronic Grip Meter,19.99,0.0,0,https://www.banggood.com/KALOAD-Dynamometer-Hand-Grips-Electronic-Grip-Strengthener-LED-Display-Intelligent-Electronic-Grip-Meter-p-2025281.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=233,Mid-Range ($10-50),104,0.19221153846153843
Sports,ANGWATT 60V Electric Scooter Charger For LAOTIE ES19 TI30 ES18P SR10 ANGWATT T1 X1 C1 MAX DUOTTS D88 BOYUEDA S3,21.91,0.0,0,https://www.banggood.com/ANGWATT-60V-Electric-Scooter-Charger-For-LAOTIE-ES19-TI30-ES18P-SR10-ANGWATT-T1-X1-C1-MAX-DUOTTS-D88-BOYUEDA-S3-p-1995392.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=0,Mid-Range ($10-50),111,0.1973873873873874
Sports,XIAOMI Mijia Massage Gun 3 Mini Edition Smart Dual Mode 12kg High Thrust Brushless Silent Motor Gear Memory Strength Indicator Light Ring Portable Muscle Effective Relief Massage Gun,49.99,0.0,0,https://www.banggood.com/XIAOMI-Mijia-Massage-Gun-3-Mini-Edition-Smart-Dual-Mode-12kg-High-Thrust-Brushless-Silent-Motor-Gear-Memory-Strength-Indicator-Light-Ring-Portable-Muscle-Effective-Relief-Massage-Gun-p-2030654.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6288208,Mid-Range ($10-50),182,0.27467032967032967
Sports,ATuMan DUKA LS-P Intelligent Digital Laser Rangefinder Rechargeable Hunting Golf Distance Meter Range Finder,22.99,0.0,0,https://www.banggood.com/ATuMan-DUKA-LS-P-Intelligent-Digital-Laser-Rangefinder-Rechargeable-Hunting-Golf-Distance-Meter-Range-Finder-p-1515410.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=0,Mid-Range ($10-50),108,0.21287037037037035
Sports,Trustfire H7R 2000 Lumen Red White 4000K CRI95 Head LED Headlamp Work Light USB Rechargeable with Spotlight Floodlight LED Headlight,35.5,0.0,0,https://www.banggood.com/Trustfire-H7R-2000-Lumen-Red-White-4000K-CRI95-Head-LED-Headlamp-Work-Light-USB-Rechargeable-with-Spotlight-Floodlight-LED-Headlight-p-2041824.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6287851,Mid-Range ($10-50),132,0.2689393939393939
Sports,[Type-C Version]MAGICSHINE RN120 V2.0 Bike Taillight 260° Visibility IPX6 Waterproof 2000m Distance Bicycle Rear Light for Night Cycling,19.99,0.0,0,https://www.banggood.com/Type-C-VersionMAGICSHINE-RN120-V2_0-Bike-Taillight-260-Visibility-IPX6-Waterproof-2000m-Distance-Bicycle-Rear-Light-for-Night-Cycling-p-1993805.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=0,Mid-Range ($10-50),136,0.14698529411764705
Sports,ANGWATT Switch Handlebar Switch Shift For ANGWATT X1 ANGWATT CS1 ANGWATT F1 NEW ANGWATT T1 2.0 ANGWATT C1 MAX ANGWATT C1 2.0,13.7,0.0,0,https://www.banggood.com/ANGWATT-Switch-Handlebar-Switch-Shift-For-ANGWATT-X1-ANGWATT-CS1-ANGWATT-F1-NEW-ANGWATT-T1-2_0-ANGWATT-C1-MAX-ANGWATT-C1-2_0-p-2021139.html?rmmds=SportsFlashDeals&cur_warehouse=CN&ID=6287830,Mid-Range ($10-50),124,0.11048387096774193
